County Name,State Name,Confirmed,Newly Confirmed,Death,New Death,Fatality Rate,STATEFP,COUNTYFP,Last Update
Kershaw,South Carolina,14,0,0,0,0,45,055,2020-03-16 13:00 EDT
Beaufort,South Carolina,3,0,0,0,0,45,013,2020-03-16 13:00 EDT
Horry,South Carolina,3,0,0,0,0,45,051,2020-03-16 13:00 EDT
Lancaster,South Carolina,2,0,0,0,0,45,057,2020-03-16 13:00 EDT
Anderson,South Carolina,2,0,0,0,0,45,007,2020-03-16 13:00 EDT
Charleston,South Carolina,1,0,0,0,0,45,019,2020-03-16 13:00 EDT
Spartanburg,South Carolina,1,0,0,0,0,45,083,2020-03-16 13:00 EDT
Lexington,South Carolina,1,0,1,1,1,45,063,2020-03-16 13:00 EDT
Greenville,South Carolina,1,0,0,0,0,45,045,2020-03-16 13:00 EDT
Salt Lake,Utah,14,0,0,0,0,49,035,2020-03-16 13:00 EDT
Non-Utah resident,Utah,7,0,0,0,0,49,,2020-03-16 13:00 EDT
Davis,Utah,3,0,0,0,0,49,011,2020-03-16 13:00 EDT
Summit,Utah,2,0,0,0,0,49,043,2020-03-16 13:00 EDT
Weber-Morgan,Utah,1,0,0,0,0,49,057,2020-03-16 13:00 EDT
Southwest Utah,Utah,1,0,0,0,0,49,,2020-03-16 13:00 EDT
Clark,Nevada,16,0,0,0,0,32,003,2020-03-16 13:00 EDT
Washoe,Nevada,9,0,0,0,0,32,031,2020-03-16 13:00 EDT
Ormsby,Nevada,1,0,0,0,0,32,510,2020-03-16 13:00 EDT
Fairfield,Connecticut,16,0,0,0,0,09,001,2020-03-16 13:00 EDT
New Haven,Connecticut,4,0,0,0,0,09,009,2020-03-16 13:00 EDT
Litchfield,Connecticut,3,0,0,0,0,09,005,2020-03-16 13:00 EDT
Hartford,Connecticut,3,0,0,0,0,09,003,2020-03-16 13:00 EDT
Marion,Indiana,7,1,0,0,0,18,097,2020-03-16 13:00 EDT
Hendricks,Indiana,3,1,0,0,0,18,063,2020-03-16 13:00 EDT
Johnson,Indiana,3,0,0,0,0,18,081,2020-03-16 13:00 EDT
Howard,Indiana,2,1,0,0,0,18,067,2020-03-16 13:00 EDT
Noble,Indiana,1,0,0,0,0,18,113,2020-03-16 13:00 EDT
Adams,Indiana,1,0,0,0,0,18,001,2020-03-16 13:00 EDT
Boone,Indiana,1,0,0,0,0,18,011,2020-03-16 13:00 EDT
St. Joseph,Indiana,1,0,0,0,0,18,141,2020-03-16 13:00 EDT
Hancock,Indiana,1,0,0,0,0,18,059,2020-03-16 13:00 EDT
Wells,Indiana,1,0,0,0,0,18,179,2020-03-16 13:00 EDT
LaPorte,Indiana,1,0,0,0,0,18,091,2020-03-16 13:00 EDT
Hamilton,Indiana,1,0,0,0,0,18,057,2020-03-16 13:00 EDT
