County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
Whiteside,Illinois,1,0,0,0%,41.75533495,-89.91231676,2020-03-19 20:03 EDT,17,195
Madison,Illinois,1,0,0,0%,38.83006224,-89.9017802,2020-03-19 20:03 EDT,17,119
Jackson,Illinois,1,0,0,0%,37.78549498,-89.38103883,2020-03-19 20:03 EDT,17,77
Williamson,Illinois,1,0,0,0%,37.73016812,-88.92990905,2020-03-19 20:03 EDT,17,199
Fulton,Georgia,66,17,0,0%,33.79024066,-84.46711002,2020-03-19 20:03 EDT,13,121
Cobb,Georgia,37,9,1,2.70%,33.9414802,-84.57663741,2020-03-19 20:03 EDT,13,67
Bartow,Georgia,26,7,0,0%,34.23764397,-84.8407294,2020-03-19 20:03 EDT,13,15
DeKalb,Georgia,22,4,0,0%,33.77153731,-84.22646531,2020-03-19 20:03 EDT,13,89
Dougherty,Georgia,20,13,2,10%,31.53332494,-84.21629439,2020-03-19 20:03 EDT,13,95
Cherokee,Georgia,16,7,0,0%,34.24398966,-84.47624414,2020-03-19 20:03 EDT,13,57
Gwinnett,Georgia,12,5,0,0%,33.96118879,-84.0235873,2020-03-19 20:03 EDT,13,135
Fayette,Georgia,9,1,0,0%,33.4139091,-84.49427247,2020-03-19 20:03 EDT,13,113
Lowndes,Georgia,8,3,0,0%,30.83362831,-83.26769554,2020-03-19 20:03 EDT,13,185
Clarke,Georgia,8,3,0,0%,33.95110572,-83.36741217,2020-03-19 20:03 EDT,13,59
Floyd,Georgia,6,0,0,0%,34.26324245,-85.21452762,2020-03-19 20:03 EDT,13,115
Clayton,Georgia,6,0,0,0%,33.54197299,-84.35769948,2020-03-19 20:03 EDT,13,63
Hall,Georgia,5,2,0,0%,34.32041152,-83.81043541,2020-03-19 20:03 EDT,13,139
Lee,Georgia,3,1,0,0%,31.77959716,-84.14088023,2020-03-19 20:03 EDT,13,177
Gordon,Georgia,3,0,0,0%,34.50319646,-84.87587883,2020-03-19 20:03 EDT,13,129
Coweta,Georgia,3,0,0,0%,33.35360269,-84.76336691,2020-03-19 20:03 EDT,13,77
Henry,Georgia,3,1,0,0%,33.45301628,-84.15426282,2020-03-19 20:03 EDT,13,151
Newton,Georgia,3,0,0,0%,33.55500659,-83.8502182,2020-03-19 20:03 EDT,13,217
Forsyth,Georgia,3,1,0,0%,34.22493225,-84.13349923,2020-03-19 20:03 EDT,13,117
Paulding,Georgia,3,0,0,0%,33.92042456,-84.8672012,2020-03-19 20:03 EDT,13,223
Troup,Georgia,2,0,0,0%,33.03351893,-85.02826168,2020-03-19 20:03 EDT,13,285
Richmond,Georgia,2,1,0,0%,33.35962968,-82.07361638,2020-03-19 20:03 EDT,13,245
Early,Georgia,2,2,0,0%,31.32275589,-84.90368024,2020-03-19 20:03 EDT,13,99
Glynn,Georgia,2,2,0,0%,31.23258257,-81.54266737,2020-03-19 20:03 EDT,13,127
Laurens,Georgia,2,2,0,0%,32.46368817,-82.92216465,2020-03-19 20:03 EDT,13,175
Polk,Georgia,1,0,0,0%,34.00168812,-85.18810974,2020-03-19 20:03 EDT,13,233
Charlton,Georgia,1,0,0,0%,30.78171091,-82.13776476,2020-03-19 20:03 EDT,13,49
Columbia,Georgia,1,0,0,0%,33.53724806,-82.26219609,2020-03-19 20:03 EDT,13,73
Houston,Georgia,1,0,0,0%,32.45894643,-83.66617499,2020-03-19 20:03 EDT,13,153
Whitfield,Georgia,1,0,0,0%,34.80552576,-84.96721045,2020-03-19 20:03 EDT,13,313
Barrow,Georgia,1,0,0,0%,33.99322516,-83.71272533,2020-03-19 20:03 EDT,13,13
Bibb,Georgia,1,1,0,0%,32.80663592,-83.69775904,2020-03-19 20:03 EDT,13,21
Peach,Georgia,1,1,0,0%,32.5688118,-83.82678717,2020-03-19 20:03 EDT,13,225
Muscogee,Georgia,1,1,0,0%,32.50990011,-84.87686884,2020-03-19 20:03 EDT,13,215
Middlesex,Massachusetts,100,0,0,0%,42.48559407,-71.3917913,2020-03-19 20:03 EDT,25,17
Suffolk,Massachusetts,51,0,0,0%,42.33189157,-71.07537429,2020-03-19 20:03 EDT,25,25
Norfolk,Massachusetts,45,0,0,0%,42.11941,-71.33083,2020-03-19 20:03 EDT,25,21
Berkshire,Massachusetts,17,0,0,0%,42.51105,-73.19426,2020-03-19 20:03 EDT,25,3
Essex,Massachusetts,14,0,0,0%,42.63251,-70.78113,2020-03-19 20:03 EDT,25,9
Worcester,Massachusetts,10,0,0,0%,42.26341,-71.80219,2020-03-19 20:03 EDT,25,27
Bristol,Massachusetts,5,0,0,0%,41.79836956,-71.11428121,2020-03-19 20:03 EDT,25,5
