County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
Fairfield,Connecticut,15,0,0,0%,41.16633,-73.22876,2020-03-15 16:23 EDT
New Haven,Connecticut,4,0,0,0%,41.30801,-72.92432,2020-03-15 16:23 EDT
Litchfield,Connecticut,3,0,0,0%,41.74626,-73.18895,2020-03-15 16:23 EDT
Hartford,Connecticut,2,1,0,0%,41.76375,-72.67394,2020-03-15 16:23 EDT
Providence,Rhode Island,20,0,0,0%,41.82387,-71.41199,2020-03-15 16:23 EDT
Marion,Indiana,6,3,0,0%,40.55881,-85.66067,2020-03-15 16:23 EDT
Johnson,Indiana,3,0,0,0%,38.27838,-87.74419,2020-03-15 16:23 EDT
Hendricks,Indiana,2,0,0,0%,39.60803,-86.14854,2020-03-15 16:23 EDT
Noble,Indiana,1,0,0,0%,40.43248,-84.82305,2020-03-15 16:23 EDT
Adams,Indiana,1,0,0,0%,39.48779,-86.35577,2020-03-15 16:23 EDT
Boone,Indiana,1,0,0,0%,40.05074486,-86.46869878,2020-03-15 16:23 EDT
Howard,Indiana,1,0,0,0%,39.91502,-87.36117,2020-03-15 16:23 EDT
St. Joseph,Indiana,1,0,0,0%,38.06615,-87.64696,2020-03-15 16:23 EDT
Hancock,Indiana,1,0,0,0%,39.82353217,-85.77322257,2020-03-15 16:23 EDT
